station_id,name,lat,lon,num_bikes_available,capacity,occupation_rate,availability_score,bikes_per_dock,cluster,is_low_availability,distrito_nome,populacao_distrito,renda_media_distrito,densidade_distrito,lr_predicted,lr_residuals
158,467 - Metrô Eucaliptos,-23.60889662,-46.66871281,5,19,0.2631578947368421,0.736842105263158,0.2631578947368421,-1,False,Moema,83368,9800,8336.8,-0.008142117246223934,0.271300011983066
162,162 - Herculano de Freitas,-23.5550645493143,-46.6520335101847,9,11,0.8181818181818182,0.18181818181818177,0.8181818181818182,-1,False,Bela Vista,63190,6200,6319.0,3.1628822441928426,-2.3447004260110242
163,163 - Paim,-23.5530167175194,-46.6510376596248,5,11,0.45454545454545453,0.5454545454545454,0.45454545454545453,-1,False,Consolação,57365,7500,5736.5,2.360700773354271,-1.9061553188088163
167,167 - Praça Roosevelt,-23.5485777016467,-46.6471562050592,5,11,0.45454545454545453,0.5454545454545454,0.45454545454545453,-1,False,Centro,57123,4500,5712.3,4.569780326897259,-4.115234872351805
168,473 - Aratãs,-23.60747033,-46.66538038,5,19,0.2631578947368421,0.736842105263158,0.2631578947368421,-1,False,Moema,83368,9800,8336.8,-0.008142117246223934,0.271300011983066
169,169 - Rua São Domingos,-23.552657354472,-46.6423831739113,11,11,1.0,0.0,1.0,-1,False,Centro,57123,4500,5712.3,4.569780326897259,-3.569780326897259
175,175 - R. Luis Coelho,-23.5579898497291,-46.6579877600663,8,19,0.42105263157894735,0.5789473684210527,0.42105263157894735,-1,False,Consolação,57365,7500,5736.5,2.360700773354271,-1.9396481417753235
176,176 - R. Cel. Xavier de Toledo,-23.547640346185,-46.6406185501522,9,23,0.391304347826087,0.6086956521739131,0.391304347826087,-1,False,Centro,57123,4500,5712.3,4.569780326897259,-4.178475979071172
177,177 - Av. São João,-23.5428158801363,-46.6395339948596,4,11,0.36363636363636365,0.6363636363636364,0.36363636363636365,-1,False,Centro,57123,4500,5712.3,4.569780326897259,-4.206143963260896
178,178 - Av. São Luís,-23.5456630543638,-46.6432462652324,10,15,0.6666666666666666,0.33333333333333337,0.6666666666666666,-1,False,Centro,57123,4500,5712.3,4.569780326897259,-3.9031136602305927
181,181 - Metrô Santa Cecília,-23.5398674287039,-46.6498022180738,11,11,1.0,0.0,1.0,-1,False,Santa Cecília,83717,6800,8371.7,2.1854807608689697,-1.1854807608689697
